"Date","Tox","type"
"2016-12-15",0.19,"cyn"
"2017-1-01",0.81,"cyn"
"2017-1-15",0.13,"cyn"
"2017-2-01",0.16,"cyn"
"2017-2-15",0.16,"cyn"
"2017-3-01",0.12,"cyn"
"2017-3-15",0.15,"cyn"
"2017-4-01",0.1,"cyn"
"2017-4-15",0.1,"cyn"
"2017-5-01",0.23,"cyn"
"2017-5-15",0.1,"cyn"
"2017-6-01",0.08,"cyn"
"2017-6-15",0.09,"cyn"
"2017-7-01",0.1,"cyn"
"2017-7-15",0.08,"cyn"
"2017-8-01",0.14,"cyn"
"2017-8-15",0.1,"cyn"
"2017-9-01",0.23,"cyn"
"2017-9-15",0.05,"cyn"
"2017-10-01",0.05,"cyn"
"2017-10-15",0.07,"cyn"
"2017-11-01",0.05,"cyn"
"2017-11-15",0.06,"cyn"
"2017-12-01",0.05,"cyn"
"2017-12-15",0.05,"cyn"
"2018-1-01",0.07,"cyn"
"2018-1-15",0.16,"cyn"
"2018-2-01",0.06,"cyn"
"2018-2-15",0.05,"cyn"
"2018-3-01",0.05,"cyn"
"2018-3-15",0.05,"cyn"
"2018-4-01",0.05,"cyn"
"2018-4-15",0.05,"cyn"
"2018-5-01",0.05,"cyn"
"2018-5-15",0.09,"cyn"
"2018-6-01",0.08,"cyn"
"2018-6-15",0.08,"cyn"
"2018-7-01",0.08,"cyn"
"2018-7-15",0.07,"cyn"
"2018-8-01",0.05,"cyn"
"2018-8-15",0.06,"cyn"
"2018-9-01",0.07,"cyn"
"2018-9-15",0.08,"cyn"
"2018-10-01",0.08,"cyn"
"2018-10-15",0.09,"cyn"
"2018-11-01",0.06,"cyn"
"2018-11-15",0.17,"cyn"
"2018-12-01",0.09,"cyn"
"2018-12-15",0.06,"cyn"
"2019-1-01",0.17,"cyn"
"2019-1-15",0.17,"cyn"
"2019-2-01",0.78,"cyn"
"2019-2-15",1,"cyn"
"2019-3-01",0.74,"cyn"
"2019-3-15",1.22,"cyn"
"2019-4-01",0.29,"cyn"
"2019-4-15",NA,"cyn"
